workbook,view,tema,ladefe_url,pages_count,reused,tableau_url,ladefe_pages
5_1aNNyAconmedidasdeproteccion_NNyA,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/nnya-en-dispositivos-de-cuidado-residencial-familiar-con-familia-ampliada/,1,No,https://public.tableau.com/views/5_1aNNyAconmedidasdeproteccion_NNyA/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/nnya-en-dispositivos-de-cuidado-residencial-familiar-con-familia-ampliada/
5_1bNNyAconmedidasdeproteccion_Dispositivos,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/dispositivos-de-cuidado/,1,No,https://public.tableau.com/views/5_1bNNyAconmedidasdeproteccion_Dispositivos/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/dispositivos-de-cuidado/
5_2PAE,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/programa-pae/,1,No,https://public.tableau.com/views/5_2PAE/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/programa-pae/
5_3Lnea102,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/linea-102/,1,No,https://public.tableau.com/views/5_3Lnea102/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/linea-102/
5_4aJusticiajuvenilAdolescentesyjvenes,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/adolescentes-y-jovenes-en-dispositivos-penales/,1,No,https://public.tableau.com/views/5_4aJusticiajuvenilAdolescentesyjvenes/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/adolescentes-y-jovenes-en-dispositivos-penales/
5_4bJusticiajuvenilDispositivospenales,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/dispositivos-penales/,1,No,https://public.tableau.com/views/5_4bJusticiajuvenilDispositivospenales/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/dispositivos-penales/
6_1Inversinpblicapresupuestonacional,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-en-el-presupuesto-nacional/,1,No,https://public.tableau.com/views/6_1Inversinpblicapresupuestonacional/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-en-el-presupuesto-nacional/
6_2aInversinpblicanacionalyprovincialNNyA,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-ninez-y-adolescencia/,1,No,https://public.tableau.com/views/6_2aInversinpblicanacionalyprovincialNNyA/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-ninez-y-adolescencia/
6_2bInversinpblicanacionalyprovincialPrimerainfancia,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-primera-infancia/,1,No,https://public.tableau.com/views/6_2bInversinpblicanacionalyprovincialPrimerainfancia/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-primera-infancia/
7_1SaludsexualyreproductivaFecundidadadolescente,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/salud-sexual-y-reproductiva/fecundidad-y-embarazo/,1,No,https://public.tableau.com/views/7_1SaludsexualyreproductivaFecundidadadolescente/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/salud-sexual-y-reproductiva/fecundidad-y-embarazo/
7_3aMortalidadadolescenteTasas,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/tasa-de-mortalidad-adolescente/,1,No,https://public.tableau.com/views/7_3aMortalidadadolescenteTasas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/tasa-de-mortalidad-adolescente/
7_3bMortalidadadolescenteCausas,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/principales-causas-de-muerte-adolescente/,1,No,https://public.tableau.com/views/7_3bMortalidadadolescenteCausas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/principales-causas-de-muerte-adolescente/
7_3cMortalidadadolescenteCausasexternas,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/foco-en-las-defunciones-por-causas-externas/todas-las-causas-externas/,2,Sí,https://public.tableau.com/views/7_3cMortalidadadolescenteCausasexternas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/foco-en-las-defunciones-por-causas-externas/todas-las-causas-externas/ | https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/causas-de-muerte-de-nnya/causas-externas-entre-las-defunciones-adolescentes-2/todas-las-causas-externas/
7_3dMortalidadadolescenteAccidentes,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/foco-en-las-defunciones-por-causas-externas/accidentes/,2,Sí,https://public.tableau.com/views/7_3dMortalidadadolescenteAccidentes/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/mortalidad-adolescente/causas-de-muerte-adolescente/foco-en-las-defunciones-por-causas-externas/accidentes/ | https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/causas-de-muerte-de-nnya/causas-externas-entre-las-defunciones-adolescentes-2/accidentes/
